review_id	review_text	aspect_terms
1074	i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds .	dosa
912	wine list selection is good and wine - by - the - glass was generously filled to the top .	wine list selection	wine - by - the - glass
728	with the great variety on the menu , i eat here often and never get bored .	menu
2925	the menu is very limited - i think we counted 4 or 5 entrees .	menu	entrees
495	if you are a carnivore , come hungry and you will leave more satisfied than you have ever been .	
3436	the menu is limited but almost all of the dishes are excellent .	menu	dishes
3273	not too crazy about their sake martini .	sake martini
1215	great bagels , spreads and a good place to hang out in .	bagels	spreads
183	the service varys from day to day - sometimes they 're very nice , and sometimes not .	service
2511	whoever the jazz duo was , they were on point .	
282	one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests .	table
1562	this place is a great bargain .	
1712	we happened upon this place purely by accident and were pleased with the results .	
3249	unfortunately , the food is outstanding , but everything else about this restaurant is the pits .	food
2052	deff recimmend bukhara they also have opened two new locations guess ill try them out .	
3207	we always have a delicious meal and always leave feeling satisfied .	meal
672	dip the ingredients in with your chopsticks , swirl them around , and eat .	ingredients	chopsticks
2972	first went here to enjoy their garden terrace .	garden terrace
1903	my husbands was perfect , my was well done and dry .	
2549	everyone i have spoken too there is super friendly , helpful , and willing to the extra mile for a customer .	
1755	the pizza was pretty good and huge .	pizza
2890	sapphire is the only indian restaurant i go to when i 'm in nyc .	
2277	the cuisine from what i 've gathered is authentic taiwanese , though its very different from what i 've been accustomed to in taipei .	cuisine
2308	i heartily recommend .	
51	heartland brewery is by far one of the best places in nyc to make new friends and catch up with old ones .	
3680	i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded .	atmosphere
3155	they are often crowded on the weekends but they are efficient and accurate with their service .	service	crowded
1688	all my co - workers were amazed at how small the dish was .	dish
598	the atmosphere is unheralded , the service impecible , and the food magnificant .	atmosphere	service	food
2926	we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .	grilled branzino
3083	the wait staff is friendly , and the food has gotten better and better !	wait staff	food
1388	this place , which is only a few months old , is perhaps queens' biggest secret !	
2977	it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .	vibe	french food	packed
1574	this place is so much fun .	
498	i was glad i did .	
2604	right off the l in brooklyn this is a nice cozy place with good pizza .	pizza	place
473	i 've never been treated so rudely .	
380	i 'll be back soon .	
2960	le pere pinard has a $15 pre - theater menu that is outstanding .	pre - theater menu
322	went inside and i started to get excited .	
1383	i also ordered for delivery and the restaurant forgot half the order .	delivery	order
892	our server checked on us maybe twice during the entire meal .	server	meal
2296	however , it is jus too good to not praise it .	
868	we have been to montparnasse many times and return often for good reason .	
2936	the strong scents coming from the left and right of me negatively affected my taste buds .	scents
3423	we had the lobster sandwich and it was fantastic .	lobster sandwich
154	it 's somewhere you can eat and be happy .	
591	if you wrote a bad review , it 's because you do n't understand what rao 's is all about .	
1197	had we been stalling i could understand where they were coming from , but we had been there less than an hour and they had n't even brought us a check yet !	check
2061	but overall i give it a 10	
2274	though the spider roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them .	spider roll	price	shell crab
2804	deep fried skewers are good and still rare to find in nyc .	deep fried skewers
194	i have tried to make reservations , but both times , the hostess did n't have my name .	reservations	hostess
148	i also recommend the rice dishes or the different varieties of congee ( rice porridge ) .	rice dishes	congee ( rice porridge )
2747	their tuna tartar appetizer is to die for .	tuna tartar appetizer
2845	this was one of the best restaurants i 've ever been to .	
187	this restaurant used to be pretty decent .	
856	an oasis of refinement : food , though somewhat uneven , often reaches the pinnacles of new american fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups .	food	chef	fish dishes	soups	kitchen	cuisine
2033	if you love wine and cheese and delicious french fare , you 'll love artisanal !	wine	french fare	cheese
1402	i love indian food and consider myself to be quite an expert on it .	indian food
439	some baby pizzas get their wish .	baby pizzas
3360	plenty of choices to make your own creation .	
2949	it was tiny and i felt like i was eating in someone 's living room .	
570	i was there on sat .	
2053	overall a oh ya even though there is waiting it is deff worth it	waiting
3316	the lava cake dessert was incredible and i recommend it .	lava cake dessert
433	vt is what baby pizzas hope to be when they grow up .	baby pizzas
738	from the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .	service	food	managers
1549	lahore is a great place to duck into late - night when you need some really tasty food on the cheap - - you 'll likely have trouble finishing the amount of food you get for four dollars .	food	food
1798	the last time i went we were seated at a table in a corridor next to the kitchen .	table
2941	good selection of wines ranging from affordable to high end .	selection of wines
362	nice restaurant overall , with classic upscale italian decor .	italian decor
2921	not impressed with the food .	food
1909	the entire dining experience was wonderful !	dining experience
1878	the wine selection ( by the glass and bottle ) is wonderful and i always recommend that friends make a reservation if they 're going to be in town .	wine selection	reservation
858	service is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress .	service	maitre	reservation
3376	order the panang duck , it 's fantastic .	panang duck
173	food is usually very good , though ocasionally i wondered about freshmess of raw vegatables in side orders .	food	raw vegatables
1836	other than the crappy service from two individuals , it 's great .	service
1703	what more can you ask for ?	
3564	wondering who had the best deals we noticed a line had formed to wait for this one particular establishment .	
1404	they have authentic indian at amazin prices .	indian	prices
645	you are treated just like royality .	
3288	there 's nice and quiet , small but enough for 6 ( or more ) .	
1819	ambiance - relaxed and stylish .	ambiance
1144	i 've never felt more unwelcome than last month at jimmy 's bronx cafe .	
2639	luckily we saved room for the bbq salmon , sea bass and crispy duck .	bbq salmon	sea bass	crispy duck
1474	yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .	ingredients	ingredients	pizza	crust
1553	looking from the outside in , one would hesitate to enter this hole in the wall ( really , that 's what it is ) .	
2059	and yes dal bukhara is so dam good and so are all the kababs .	kababs	dal bukhara
926	i look forward to eating here again	eating
2385	i 've been coming here as a child and always come back for the taste .	taste
2498	tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price .	meal	price
2469	a glass of leaping lizard , a glass of prosecco , and the mussels had everything happy .	glass of prosecco	mussels	glass of leaping lizard
567	food was average and creme brulee was awful - the sugar was charred , not caramelized and smelled of kerosene .	food	creme brulee	sugar
3517	the food always tastes fresh and served promptly .	food	served
2069	i know because i live nearby .	
1599	the pizza here is delicious .	pizza
2860	my entire family was horrified .	
1092	on a monthly basis my friends and i get together and have a girls night out .	
2548	pizza and garlic knots are great as well , i order from them quite often and the delivery is always super quick !	pizza	delivery	garlic knots
759	for great chinese food nearby , you have wu liang ye and grand sichuan just a block away .	chinese food
3175	but who says murray 's is anything about service .	service
2209	this place is really trendi but they have forgotten about the most important part of a restaurant , the food .	food
2717	i have never been disappointed in the red eye .	
1352	hats off to the chef .	chef
1543	this should have been done in a back room - away from customers .	
3537	service could be improved but overall this is a place that understands the importance of little things ( the heavy , black , antique - seeming teapot , for one ) in the restaurant experience .	service	teapot
3213	glad you have the luxury to throw out paying customers .	
1743	the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's .	pizza	fresh mozzarella	cheese
1321	its an excellent place to relax and the food is one of the best in the city of new york .	place	food
2907	service is friendly , and never had a problem walking in and getting a table .	service	getting a table
1890	the atmosphere was crowded but it was a great bistro - type vibe .	atmosphere	bistro - type vibe
2675	check it out	
2588	first off , the waitress was completely unattentive the 2 times we saw her ( odd in a restaurant with 6 tables ) and got our order wrong .	waitress	tables
2234	do n't go .	
3130	the food was bland oily .	food
3285	but they do .	
709	what is even better , is that the prices are very affordable as well , and the food is really good .	prices	food
1198	the fish is fresh but the variety of fish is nothing out of ordinary .	fish	variety of fish
2380	look i dont know if the people who wrote the reviews have ever been to a decent place ( please try someother places ) .	
2250	suan has challenged this loyalty .	
2302	our favorite meal is a pesto pizza , the house salad , and a good bottle of wine .	pesto pizza	house salad	bottle of wine	meal
1110	and kruno , the beverage manager is the best bartender i have yet to come across .	bartender	beverage manager
973	ambiance and music funky , which i enjoy .	ambiance	music
2132	the food , drinks and service are clearly among the best in the city .	food	drinks	service
231	i went there in late afternoon for some bite size food and refleshment with my date .	food	refleshment
1184	it 's a really great deal , considering we got full off of four dollars .	
250	i understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .	ambiance	service	foods	tastes	sommlier	captain	back waiters
227	went with mommy ( the only person who could afford taking me here ) .	
3653	my friends and i were on vacation in ny and was referred to chance by a friend .	
2988	last time i went here , the waitress did n't come back after taking our order .	waitress
3092	try the tandoori salmon !	tandoori salmon
1166	i am completely hooked on this place , it is ridiculous .	
3686	eating in , the atmosphere saves it , but at your desk , it 's a very disappointing experience .	atmosphere
1922	granted the space is smaller than most , it is the best service you will find in even the largest of restaurants .	space	service
2978	have recommended the place to friends , always gets good response .	
2139	we will return many times for this oasis in mid - town .	
2454	i love the atmorphere @ peep !	atmorphere
1881	enjoy !	
633	we were n't !	
268	this is one of my favorite restaurants and it is not to be missed .	
3613	( la rosa is connected by a swinging door to the mexican restaurant pacifico ) .	
1531	it could have been handled better .	
603	the service was attentive and her suggestions of menu items was right on the mark .	service	menu items
678	the other night we had the $30 three course meal and everything was delicious - if i could of licked the plate clean i would of .	three course meal
2690	please be aware that it 's cash or amex only !	
1830	even after getting pushed out by the no - class famous ray 's , sal has risen again to carry on his father 's uncle 's legacies with a smile , true love for his community , and let 's not forget the outstanding pizza !	pizza
1408	it 's a rather cramped and busy restaurant and it closes early .	
2521	the environment is romantic , but the food is horrible , the service is pathetic , and gabriella lies about everything she could .	environment	food	service
1918	we had crawfish boiled and despite making a mess , it was a ton of fun and quite tasty as well .	crawfish boiled
2930	i had very high expectations for this place and made a reservation a couple of months in advance for a special occasion .	reservation
2166	they were served warm and had a soft fluffy interior .	
887	what came to our table was burned beyond recognition and stringy .	table
2448	i had the pad thai and the noodles were sticky .	pad thai	noodles
3244	so i 've never actually been to m proper , but i 've had it delivered a few times .	delivered
1478	among all of the new 5th avenue restaurants , this offers by far one of the best values for your money .	values for your money
1413	frankly , when you compare what you can have here for lunch , versus mcds or so many other sandwich shops in the city , there is no comparison .	lunch
3129	the hostess is rude to the point of being offensive .	hostess
2271	if you 're craving for haru 's great food , especially the house roll , but ca n't stand the wait building outisde , head across the street to their sake bar !	food	wait building
1554	a narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12 - 14 entrees .	corridor	space	counters	counter	entrees
2306	the food is great .	food
1975	succulent steaks cooked precisely to your desired 'd oneness' accompanied by salads and sides that do n't look like leafy road kill .	steaks	salads	sides
3699	lunch came with pickels and slaw , no extra charge .	lunch	pickels and slaw
2875	decent wine at reasonable prices .	wine	prices
2303	all conveniently delivered right to the door .	delivered
2513	even the wine by the glass was good .	wine by the glass
458	nice family owned traditional restaurant .	
809	would have rather tried terrace in the sky or water club for that price	price
141	this dish is my favorite and i always get it when i go there and never get tired of it .	dish
3655	i also ordered the change mojito , which was out of this world .	change mojito
2098	okay service .	service
1624	the only thing more wonderful than the food ( which is exceptional ) is the service .	food	service
1928	we were very pleasantly surprised .	
2377	the food was just awful , atrocious actually .	food
3209	i will never visit this restaurant again .	
338	the soup for the udon was soy sauce and water .	soup for the udon	soy sauce	water
1630	the anti - pasta was excellent , especially the calamari , as were the filling pasta mains .	anti - pasta	calamari	filling pasta mains
1907	the waitress suggested glasses of wine that went very well with the food .	waitress	food	glasses of wine
1557	( or sister , in my case ! ) .	
3408	i 've eaten at many different indian restaurants .	
1535	they might be all business at the counter when you give your order , but their food says i love you .	food	counter
3202	we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .	sushi	ceviche mix ( special )	crab dumplings	assorted sashimi	sushi	rolls	sake	banana tempura
449	try their plain pizza with fresh garlic or eggplant .	plain pizza	garlic	eggplant
1449	do n't go there !	
927	ok , so the servers wander around a little clueless , but there 's more than enough servers for the crowd they get - - it 's fine , you just have to make a small effort to get their attention .	servers	servers
585	good luck getting a table .	getting a table
1927	we picked it randomly , without a recommendation from someone who has been there , so we were n't sure what to expect .	
1367	do n't look down your nose at me like that . . .	
701	planet thai is great !	
345	the service is awful .	service
293	just do n't do it .	
1720	just ignore the trendy wannabes .	
1494	the takeout menu says to keep an eye out for an expanded menu offering more italian dishes , i ca n't wait !	takeout menu	menu	italian dishes
1085	trust me , it will be great , and all of it will be devoured in no time .	
2636	my girlfiends and i ate at o . g . again last night .	
1179	i wish they had one near my office - i would go everyday .	
1976	finally !	
1315	amma has the worst value for money i have experienced in nyc over the past 2 years .	
3194	i am not the most experienced person when it comes to thai food , but my friend who took me there is .	thai food
688	i think this would be a pretty good spot if it were not so overpriced and overrated .	
2393	regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you five minutes .	hostess
1278	the pizza is good though .	pizza
2201	bottles of wine are cheap and good .	bottles of wine
624	you will not be disapointed at all .	
3252	walk - ins are risky too .	
620	the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini .	beers	food	pumkin tortelini	dish
3541	they did n't give us the dinner special until we asked for it .	dinner special
865	you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .	crabmeat lasagna	chocolate bread pudding	dessert
375	word of advice , save room for pasta dishes and never leave until you 've had the tiramisu .	pasta dishes	tiramisu
2126	very good service and very good prices .	service	prices
2078	i recently went to this restaurant with some co - workers for lunch and had an amazing time .	lunch
846	the service was impeccable and unobtrusive - - the staff knows what they are there to do - - to know their menu , present your meal , and attend to your needs .	service	staff	menu	meal
2158	ess - a - bagel ( either by sty - town or midtown ) is by far the best bagel in ny .	bagel
1578	our food was great too !	food
1282	open late ( well as late as i ever got there and i 'm a night person )	
1319	the most annoying thing , though , is the fact that the servers seem to be trained to drive revenue .	servers
1175	get your food to go , find a bench , and kick back with a plate of dumplings .	food	plate of dumplings
1115	please try the filet mignon , its just the most tender piece ever .	filet mignon
3396	everything we had was pretty good , but we have only been there once .	
34	we were still sitting at the bar while we drank the sangria , but facing away from the bar when we turned back around , the $2 was gone the people next to us said the bartender took it .	sangria	bar	bar	bartender
798	something about them being busy with holiday party 's .	
395	the sake menu should not be overlooked !	sake menu
1838	i would highly recommend .	
176	this place is great .	
3102	the drinks are amazing and half off till 8pm .	drinks
984	i 've been back to nha trang literally a hundred times for the beef cubes - they 're that good .	beef cubes
2138	with so many poor experiences to be had in the theater district , is truly an excellent find !	
1472	this has got to be one of the most overrated restaurants in brooklyn .	
1969	the service , wine selection , ambiance are all outstanding and deserve recognition .	service	wine selection	ambiance
1674	went there last night for 2 year anniversery , and was n't all that impressed .	
1330	it was rather pathetic that it took them over an hour to seat us .	
763	we were seated promptly as we had reservations , however after that the service was slow .	reservations	service
332	at first i was slightly skeptical because it was a sushi restaurant in the middle of nyc .	
754	it 's really also the service , is good and the waiters are friendly .	service	waiters
2248	suan was a recommendation that i am glad we heeded .	
691	the food was pretty good , but a little flavorless and the portions very small , including dessert .	food	dessert	portions
3363	we visit at least once a month .	
999	it is set far from the small street it 's on , and there is no traffic noise .	traffic noise
2503	also , the place is popular with families , so if you 're bothered by children running loose like wild animals , come later at night to avoid them .	
1310	i 'll keep this short .	
940	i felt as though i were eating in paris .	
247	lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there .	food
2823	i highly recommend cafe st . bart 's for their food , the ambience and wonderful service .	food	ambience	service
3628	however , it 's not worth a special trip .	
349	nice value .	
987	gigino 's in wagner park is so enjoyable .	
1611	and it was quick which is very important .	
2649	this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .	dinner meeting
2396	all the nyu students love this place so it makes for a fun young atmosphere .	atmosphere
139	the food here does a great service to the name ( cantonese that is . . . ) .	food	cantonese
841	but , nothing stands out about the cooking .	cooking
3477	joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere .	food	atmosphere
442	if that 's a problem , go to mcdonald 's and destroy your insides .	
90	the prix fixe menu is worth every penny and you get more than enough ( both in quantity and quality ) .	prix fixe menu	quantity	quality
298	i 've been here 3 times for lunch and it is one of my favorites in the city .	lunch
1104	i had their eggs benedict for brunch , which were the worst in my entire life , i tried removing the hollondaise sauce completely that was how failed it was .	eggs benedict	hollondaise sauce	brunch
2563	i work near - by , and they have the best oatmeal in the neighborhood - not a packaged or quick - cooked item .	oatmeal
1280	always busy but fast moving .	
2790	too bad the food was n't of the same heritage .	food
323	the menu looked good , except for offering the chilean sea bass , but the server does not offer up the specials that were written on the board outside .	menu	chilean sea bass	server	specials
24	sexy .	
1891	the food was really good , i had the onion soup and it was one of the best ever .	food	onion soup
2417	i will have to say , this bengali fast food joint is clearly my favorite .	
2980	i 'm not picky - but it was actually gross .	
3451	overall , a solid restaurant and at less than $40pp ( including wine ) , a solid deal as well .	wine
1551	since it literally is a complete hole in the wall , it 's a bit intimidating at first , but you get over that very quickly as soon as the friendly staff welcomes you - do n't hesitate to ask for help with what to get .	staff
3146	based on the reviews for dinner , this is a place i would reconsider revisiting for that , but definitely not for dim sum again .	dim sum	dinner
1785	it costs $2 extra to turn a regular roll into an inside - out roll , but the roll more than triples in size , and that 's not just from the rice .	roll	roll	roll	rice
1492	even with john 's and joe 's around the corner , this place will make a name for itself .	
406	it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .	
3650	when he finally did , he was unable to make a gin and tonic - - could n't find tonic .	gin and tonic	tonic
2985	my girlfriend convinced me to go in the other night for a quick bite .	
2084	the dim sum is ok but does n't taste that fresh , and the little dishes do n't look steamy hot as they should ( also note lack of chinese here ) .	dim sum	little dishes
2536	despite the untasteful previous review . . .	
1820	do n't judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .	
1826	sure , everyone 's got their favorite , but to know sal , is to know new york .	
96	i think that it is absolutely brilliant and well runned business operation .	
3584	also they were $15 each !	
3193	the service is ok , some of the people did n't get what they asked for .	service
93	my friends spoke so much about it for months , i finally made the time to come down ear and dine in .	
2212	if you want good authentic thai this place is not the place to go .	thai
3426	i recommend getting a reservation even though we saw people seated without one .	reservation
1138	the only thing i moderately enjoyed was their grilled chicken special with edamame puree .	grilled chicken special with edamame puree
1461	this is as good as neighborhood restaurants come .	
128	if you want some roast duck , pork or chicken on rice with ginger , try them out !	roast duck	pork	chicken on rice with ginger
1008	you order from a menu , so you leave feeling like you missed the full experience .	menu
241	one of the more authentic shanghainese restaurants in the us definitely the best in manhattan chinatown .	
1581	we will go back every time we are in the city .	
1815	we love th pink pony .	
1746	so eat fast and order a lot .	
2124	staff is very accomodating .	staff
2919	i have to agree with the previous reviewer .	
2360	- - eat club is a roving group of nyc gluttons	
3082	if you were there when it first opened , give this restaurant a second chance .	
1950	i went to del frisco 's friday night with my boyfriend for an 8 : 00 reservation .	reservation
2803	if you like sakagura but you feel it 's too much , you 'd better try yokocho .	
1133	yourself a favor and have dinner here and see if you dont agree with me .	dinner
3204	definitely a great spot for a nice occasion or date .	
1728	you ca n't go wrong with this place .	
2801	very popular style izakaya ( sake and small portion of sake - friendly dishes ) .	sake	dishes	portion
2140	hurley 's is like cheers where everyone knows your name and they are actually glad you came .	
2447	not pretentious and very economical .	
224	the food was terrific and the service classy , attentive , without being overbearing .	food	service
2434	this is an amazing place to try some roti rolls .	roti rolls
459	fresh ingredients and everything is made to order .	ingredients
3042	we have never had any problems with charging the meal or the tip , and the food was delivered quickly , but we live only a few minutes walk from them .	meal	food	tip
152	quick and friendly service .	service
3062	authentic bistro !	
2426	they are tasty , but i suggest only eating one with meat because they tend not to mesh that well with the average american digestive system .	meat
225	somewhat pricey but what the heck .	
2424	it 's true , this place is not cheap .	
494	try the hot dogs too , they 're snappy and delicious .	hot dogs
1033	delivery is fast too .	delivery
496	being from the south , there are n't any good delis in my area and while watching foods across america on pbs i found out about katz 's deli .	
2486	the noise level was unbearable , conversation impossible .	noise level
2307	personal pans are the perfect size for those hungry nights .	personal pans
1646	highly recommended is the spicy fried clam rolls and spider rolls .	spicy fried clam rolls	spider rolls
3255	one of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way .	menu
2229	it 's convenient .	
2615	thanks bloom 's for a lovely trip .	
318	the atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon .	atmosphere
895	oh right , i should probably say something nice .	
198	odd for ave b , not just odd , the place attracts an eclectic crowd to say the least .	place
2864	when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong .	
1269	instead of wasting your time here : support restaurants that care about food .	food
95	this is can became on e of the ny italian food fare institutions .	
2062	just got back from lunch at tamarind and it was excellent .	lunch
3557	head and shoulders above its neighboors on east 6 st , taj mahal is also very comparable , in food quality , to the much overpraised ( and underdeserving ) baluchi 's .	food quality
38	the man that was hosting promised to save a table for our party of 7 , then sat a party of 2 at the very table he was saving ( mean while there were boths open all around ) .	man	table	table
1957	try the cheesecake !	cheesecake
1542	as we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were .	food	employees	containers for condiments	containers	manager
55	david , daytona beach , fl	
168	perhaps .	
2328	great indian food and the service is incredible .	indian food	service
3644	go here .	
1214	if you are in the area try the bagel shoppe on 74th street which is 3 blocks away on 2nd ave .	
1825	rosario 's is without a doubt one of the greatest pizzerias in existence .	
504	decor is nice and minimalist , food simple yet very well presented and cooked , and the wine list matches the food very well .	decor	food	wine list	food
1853	i had the salmon dish and while it was fine , for the price paid , i expected it to have some type of flavor .	salmon dish	flavor	price
1538	we ordered a tuna melt - it came with out cheese which just made it a tuna sandwich .	tuna melt	cheese	tuna sandwich
2482	especially liked chicken tikka and the naan , and the dals .	chicken tikka	naan	dals
791	the waiters were not attentive except that the bill turned up on the table before we were finished .	waiters	bill
998	the restaurant looks out over beautiful green lawns to the hudson river and the statue of liberty .	lawns
2872	my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .	staff
3281	we generally like good restaurants and eat out often but kai was way to expensive for what we got .	
2213	what a great place .	
2607	the sangria was pretty tasty and good on a hot muggy day .	sangria
1272	do n't eat here unless you 're starving for thai food and you work next door .	thai food
3369	this tiny williamsburg spot is always pleasantly surprising .	
3578	for the people who want great food plus great service , roxy is a place to avoid !	food	service
572	i had the best ravioli ever .	ravioli
2500	while the menu is n't especially groundbreaking , everything i 've tried so far has been well - executed and tasty .	menu
45	ive been here a bunch of times now and the service is always outstanding .	service
2445	the bill is approximately $25 for 2 at lunch without drinks .	bill	lunch	drinks
3217	quite frankly , this is some of the worst sushi i have ever tried .	sushi
1188	the food is great , service is ok .	food	service
1973	the overall price tag was very very expensive , something i did expect .	price tag
1334	by the time we were done , it was past 1 : 00am .	
2392	spice is great thai food , love the inexpensive appetizers .	thai food	appetizers
1791	read all the other review , they 'll confirm it .	
1044	even after they overcharged me the last time i was there .	
925	the service was attentive .	service
